ID1,Scholar1,ID2,Scholar2,similarity
442263,朱英红,422293,毛信表,0.075
442263,朱英红,406778,褚有群,0.0625
442263,朱英红,402392,陈赵扬,0.037383177570093455
442263,朱英红,426567,施梅勤,0.015873015873015872
442263,朱英红,430085,王连邦,0.013986013986013986
442263,朱英红,440159,郑华均,0.013986013986013986
442263,朱英红,428609,童少平,0.009950248756218905
442250,朱意灏,432117,吾宵,0.2
442250,朱意灏,409661,傅晓云,0.0967741935483871
442250,朱意灏,420584,卢纯福,0.02702702702702703
442235,朱怿,439854,赵小龙,0.03333333333333333
442235,朱怿,407047,戴晓玲,0.02857142857142857
442149,朱艺华,417682,李燕君,0.10628019323671498
442149,朱艺华,441250,周根贵,0.06687898089171974
442149,朱艺华,428467,田贤忠,0.05102040816326531
442149,朱艺华,421307,罗和治,0.023529411764705882
442149,朱艺华,432027,翁潇彬,0.0189873417721519
442149,朱艺华,422829,孟志青,0.018575851393188854
442149,朱艺华,435919,叶枫,0.0163265306122449
442149,朱艺华,414539,蒋敏,0.013513513513513514
442149,朱艺华,404700,陈敏智,0.0125
442149,朱艺华,470484,白娜娜,0.006578947368421052
442094,朱燕,408929,方巍,0.008771929824561403
442080,朱艳,428524,童春良,0.09523809523809523
442080,朱艳,441860,朱国银,0.045454545454545456
442080,朱艳,427255,孙捷,0.03571428571428571
442080,朱艳,429395,王斐波,0.023255813953488372
442063,朱旭红,402793,陈春虎,0.1111111111111111
442063,朱旭红,422156,马有保,0.05555555555555555
442063,朱旭红,441455,周君来,0.02702702702702703
442046,朱兴一,430165,王平,0.36885245901639346
442046,朱兴一,427027,苏为科,0.06793478260869565
442046,朱兴一,418010,李振华,0.045871559633027525
442046,朱兴一,414708,金灿,0.007518796992481203
442041,朱晓江,421265,陆遥,0.4
442037,朱向军,429869,王洁,0.11764705882352941
442037,朱向军,401481,鲍卫兵,0.06521739130434782
442037,朱向军,409407,冯志林,0.03571428571428571
442037,朱向军,422222,毛剑飞,0.03125
442037,朱向军,405517,陈伟杰,0.024390243902439025
442035,朱卫新,416604,李美群,0.125
442035,朱卫新,435357,杨育人,0.0625
442035,朱卫新,436322,应义淼,0.045454545454545456
442035,朱卫新,407382,单玉川,0.043478260869565216
442035,朱卫新,405054,陈瑞生,0.03571428571428571
442008,朱廷恒,428920,汪琨,0.48
442008,朱廷恒,425248,邱乐泉,0.011494252873563218
441969,朱上上,438363,张劲松,0.024390243902439025
441956,朱勍,439474,章银军,0.018867924528301886
441956,朱勍,440401,郑建永,0.017857142857142856
441956,朱勍,436299,应向贤,0.017241379310344827
441956,朱勍,429018,汪钊,0.010869565217391304
441954,朱李楠,428307,陶鹏,0.14285714285714285
441954,朱李楠,405926,陈幼君,0.09090909090909091
441954,朱李楠,403692,陈皓,0.08333333333333333
441954,朱李楠,405047,陈蓉蓉,0.07142857142857142
441954,朱李楠,429150,王炳忠,0.047619047619047616
441954,朱李楠,433179,徐吉洪,0.046511627906976744
441954,朱李楠,416686,李澎林,0.038461538461538464
441945,朱菊香,439482,章渊昶,0.06
441945,朱菊香,442327,祝铃钰,0.05063291139240506
441945,朱菊香,404842,陈平,0.045454545454545456
441945,朱菊香,435589,姚克俭,0.04
441945,朱菊香,418952,刘保柱,0.03225806451612903
441945,朱菊香,417948,李育敏,0.025
441945,朱菊香,426080,沈绍传,0.013157894736842105
441945,朱菊香,435012,于凤文,0.007462686567164179
441924,朱敬东,441822,周震,0.034482758620689655
441919,朱皆笑,427230,孙国君,0.023255813953488372
441919,朱皆笑,407134,单伟光,0.005025125628140704
441913,朱建芳,418041,李振明,0.3404255319148936
441906,朱吉虹,418537,廖海进,0.3333333333333333
441906,朱吉虹,405749,陈星海,0.0967741935483871
441906,朱吉虹,436673,余永海,0.08695652173913043
441891,朱惠仙,409881,盖瑞雪,0.05263157894736842
441882,朱杭军,407126,单莉丽,0.125
441882,朱杭军,432398,吴婷,0.11764705882352941
441882,朱杭军,435878,姚夏军,0.07692307692307693
441882,朱杭军,435871,姚鹏,0.0625
441864,朱海燕,432208,吴根忠,0.04081632653061224
441860,朱国银,433045,熊永芳,0.1111111111111111
441860,朱国银,433558,徐艳,0.07692307692307693
441860,朱国银,442080,朱艳,0.045454545454545456
441846,朱国清,423417,倪智明,0.13333333333333333
441846,朱国清,416686,李澎林,0.05263157894736842
441846,朱国清,435579,姚建强,0.041666666666666664
441846,朱国清,435586,姚科峰,0.037037037037037035
441846,朱国清,412395,胡立央,0.03571428571428571
441846,朱国清,436524,余红丽,0.034482758620689655
441846,朱国清,421192,鲁敏,0.03333333333333333
441846,朱国清,404455,陈晶晶,0.011111111111111112
441838,朱根兴,413154,黄中原,0.16666666666666666
441838,朱根兴,432566,伍建国,0.05
441838,朱根兴,416892,李婷婷,0.045454545454545456
441838,朱根兴,435326,杨友东,0.037037037037037035
441838,朱根兴,419483,刘勤贤,0.02857142857142857
441838,朱根兴,412414,胡夏夏,0.024390243902439025
441838,朱根兴,424876,钱少明,0.023809523809523808
441838,朱根兴,430495,王绍让,0.023255813953488372
441835,朱方思宇,436101,叶瑞克,0.0625
441831,朱发明,424267,裴翔,0.15714285714285714
441831,朱发明,437262,俞浙青,0.1206896551724138
441831,朱发明,443291,李胜,0.10833333333333334
